TC ID	Test case name	Input length type	Input	Expected output	Actual output	Status	Accuracy justification/ Description of issue type	What is covered by the test
Pos_Fun_0001	Basic Daily Sentence	S	mata kiri oonee.  	මට කිරි ඕනේ.	මට කිරි ඕනේ.	Pass	· The core meaning of the request is fully preserved	· Daily language usage
							· Sinhala modifiers (Pilla) are applied correctly.	· Simple sentence
							·The full stop is maintained at the end.	· S (≤30 characters)
								· Accuracy validation
Pos_Fun_0002	Plural Subject Handling	S	api panthi yanavaa.  	අපි පන්ති යනවා.  	අපි පන්ති යනවා.  	Pass	·The plural pronoun "api" is correctly transliterated.	·   Plural subject form
							·The verb ending matches the plural subject.	·  Verb-subject agreement
							·  Spelling of "paasal" is orthographically correct.	·  S (≤30 characters)
								·   Accuracy validation
Pos_Fun_0003	Compound sentence with conjunction	M	api thea bonavaa saha paan kanavaa.	අපි තේ බොනවා සහ පාන් කනවා.	අපි තේ බොනවා සහ පාන් කනවා.	Pass	· The conjunction "saha" is accurately placed.	·   Word combination / phrase pattern
							· Both clauses maintain independent meanings.	·  Compound sentence
							· Word segmentation is precise.	·   M (31–299 characters)
								·   Accuracy validation
Pos_Fun_0004	Conditional complex sentence	M	oya kathaa karanavanam mama ahan innavaa. 	ඔය කතා කරනවනම් මම අහන් ඉන්නවා.  	ඔය කතා කරනවනම් මම අහන් ඉන්නවා.  	Pass	· Sinhala output appears in real-time conversion.	·   Daily language usage
							· Relationship between clauses is preserved.	·   Complex sentence
							· Subject-verb agreement is maintained.	·   M (31–299 characters)
								·   Accuracy validation
Pos_Fun_0005	Interrogative question phrase	M	oyaa meeka hoDHAyi kiyalaa hithanavadha?	ඔයා මේක හොඳයි කියලා හිතනවද?	ඔයා මේක හොඳයි කියලා හිතනවද??	Pass	·Question suffix "-dha" is correctly attached.	·   Daily language usage
							·Interrogative tone is perfectly captured.	·  Interrogative (question)
							·  Question mark is preserved in the output.	·   M (31–299 characters)
								·   Accuracy validation
Pos_Fun_0006	Imperative command conversion	S	ikmanata yanna  	ඉක්මනට යන්න  	ඉක්මනට යන්න  	Pass	· The urgency of the command is maintained.	· Daily language usage
							· SThe "Hal" character is applied accurately.	· imperative (command)
							·Proper phonetical mapping is observed.	· S (≤30 characters)
								· Accuracy validation
Pos_Fun_0007	Negative form sentence	S	mama oyaata kathaa karanne naehae.	මම ඔයාට කතා කරන්නේ නැහැ.	මම ඔයාට කතා කරන්නේ නැහැ.	Pass	·Negation "naehae" is correctly spelled.	·   Daily language usage
							·Auxiliary verb structure is preserved.	·  Negation (negative form)
							·  Meaning remains unchanged from input.	·  S (≤30 characters)
								·   Accuracy validation
Pos_Fun_0008	Common greeting	S	suBha sanDhYaavak!	සුභ සන්ධ්‍යාවක්!	සුභ සන්ධ්‍යාවක්!	Pass	· . Specific "aa" sound is correctly mapped.	· Greeting / request / response
							· Exclamation mark is correctly rendered.	· Simple sentence
							·Greeting is linguistically accurate.	· S (≤30 characters)
								· Accuracy validation
